store_id,store_address,store_city,store_province,store_postalCode
0022,1500 AVENUE ATWATER,MONTREAL,QC,H3Z 1X5
0085,200 BOUL. GREBER,GATINEAU,QC,J8T 6K2
0152,106 ROBIE ST,TRURO,NS,B2N 1L1
0176,1015 REGENT ST,FREDERICTON,NB,E3B 3Y9
0202,2888 GRANVILLE ST,VANCOUVER,BC,V6H 3J5
0275,1116 LAKESIDE DR,NELSON,BC,V1L 5Z3
0280,1755 EAST BROADWAY,VANCOUVER,BC,V5N 1W2
0313,254 87 AVE & 156 ST,EDMONTON,AB,T5R 5W9
0325,8060 SILVER SPRINGS BLVD NW,CALGARY,AB,T3B 4W7
0353,150 MILLRISE BLVD S.W.,CALGARY,AB,T2Y 5G7
0416,3310 8TH ST. E.,SASKATOON,SK,S7H 5M3
0591,193 IRVING BLVD.,BOUCTOUCHE,NB,E4S 3K4
0707,265 GUELPH ST.,GEORGETOWN,ON,L7G 4B1
0863,5230 DUNDAS ST. W.,ETOBICOKE,ON,M9B 1A8
0872,6428 YONGE STREET,NORTH YORK,ON,M2M 3X4
0905,1585 MISSISSAUGA VALLEY BLVD,MISSISSAUGA,ON,L5A 3W9
0945,181 BAY ST,TORONTO,ON,M5J 2T3
1014,4630 HIGHWAY # 7 E,MARKHAM,ON,L3R 1M5
1087,250 KING ST W,KITCHENER,ON,N2G 1B6
1118,11500 TECUMSEH ROAD E,WINDSOR,ON,N8N 1L7
1152,320 COLBORNE ST.W,BRANTFORD,ON,N3T 1M2
1199,10088 MCLAUGHLIN RD,BRAMPTON,ON,L7A 2X6
1204,270 MUD STREET W,STONEY CREEK,ON,L8J 3Z6
1248,4901 39 STREET,ST. PAUL,AB,T0A 3A0
1282,9200 DUFFERIN STREET,VAUGHAN,ON,L4K 0C6
1330,946 LAWRENCE AVE EAST,TORONTO,ON,M3C 1R1
1333,351 QUEEN ST. E.,TORONTO,ON,M5A 1T2
1370,1199 GODERICH STREET,PORT ELGIN,ON,N0H 2C3
1442,4744 BANK STREET,OTTAWA,ON,K1T 0K8
1484,3505 UPPER MIDDLE ROAD,BURLINGTON,ON,L7M 4C6
1498,1285 YORK MILLS ROAD,TORONTO,ON,M3A 1Z5
1541,320 MAIN STREET SOUTH,ALEXANDRIA,ON,K0C 1A0
1838,4999 CHEMIN QUEEN MARY,MONTREAL,QC,H3W 1X4
1859,21 GEORGES - GAGNE,DELSON,QC,J5B 2E4
1909,1160 ST-JOSEPH,GATINEAU,QC,J8Z 1T3
2218,510 5TH STREET,NANAIMO,BC,V9R 1P1
2250,343 4800 KINGSWAY,BURNABY,BC,V5H 4J2
2393,317 7TH AVE SW,CALGARY,AB,T2P 2Y9
2478,12745 50TH ST NW,EDMONTON,AB,T5A 4L8
6024,51 QUAY RD.,BADGER'S QUAY,NL,A0G 1B0
0074,2880 REMEMBRANCE,MONTREAL,QC,H8S 1X8
0105,454 GRANVILLE ST.,SUMMERSIDE,PE,C1N 4K7
0170,157 WATER ST,CAMPBELLTON,NB,E3N 3L4
0178,263 MAIN ST,CHIPMAN,NB,E4A 2H2
0447,800 15TH ST  E,PRINCE ALBERT,SK,S6V 8E3
0533,1155 MAIN ST.,WINNIPEG,MB,R2W 3S4
0574,160 MAIN STREET,LEWISPORTE,NL,A0G 3A0
0595,5138 ROUTE 113,HAUT LAMEQUE,NB,E8T 3L4
0643,3781 STRANDHERD DRIVE,NEPEAN,ON,K2J 5M4
0678,640 RIVER ST,THUNDER BAY,ON,P7A 3S4
0692,399 GREENHILL AVE,HAMILTON,ON,L8K 6N5
0695,920 SOUTHDOWN ROAD,MISSISSAUGA,ON,L5J 2Y4
0706,351 CORNWALL ROAD,OAKVILLE,ON,L6J 7Z5
0727,75 KING ST. S.,WATERLOO,ON,N2J 1P2
0732,467 WHARNCLIFFE RD S.,LONDON,ON,N6J 2M8
0807,20 BLOOR ST E,TORONTO,ON,M4W 3G7
0982,1601 BAYVIEW AVE,TORONTO,ON,M4G 3B5
0990,1597 WILSON AVENUE,NORTH YORK,ON,M3L 1A5
0994,755 DANFORTH AVE,TORONTO,ON,M4J 1L2
1005,1090 KING ST  W,TORONTO,ON,M6K 0C7
1028,420 ESSA ROAD,BARRIE,ON,L4N 9J7
1085,375 ERAMOSA RD,GUELPH,ON,N1E 2N1
1111,5 TALBOT ST S,ESSEX,ON,N8M 1A6
1122,6020 MALDEN RD,LASALLE,ON,N9H 1S8
1126,"500 MANNING ROAD, RR#1",TECUMSEH,ON,N8N 5H3
1179,8865 YONGE STREET,RICHMOND HILL,ON,L4C 6Z1
1224,15 WESTNEY RD N,AJAX,ON,L1T 1P4
1245,2755 LAURIER STREET,ROCKLAND,ON,K4K 1A3
1316,703 NOTRE DAME STREET,EMBRUN,ON,K0A 1W1
1334,310 FAIRWAY ROAD S,KITCHENER,ON,N2C 1X3
1499,100 CITY CENTRE DRIVE,MISSISSAUGA,ON,L5B 2C9
1525,901 RED RIVER ROAD,THUNDER BAY,ON,P7B 1K3
1918,1301 CURE-POIRIER OUEST,LONGUEUIL,QC,J4K 2G6
2208,32530 LOUGHEED HIGHWAY,MISSION,BC,V2V 1A5
2464,22B GREAT PLAINS ROAD,EMERALD PARK,SK,S4L 1B6
2471,5009 50TH AVE,VERMILION,AB,T9X 1A7
0038,4600 BLVD. SAMSON,LAVAL,QC,H7W 2H3
0122,250 LE MARCHANT RD,ST. JOHN'S,NL,A1E 1P7
0276,7100 ALBERNI ST,POWELL RIVER,BC,V8A 5K9
0357,5015 50TH STREET,PONOKA,AB,T4J 0C1
0359,2525 36TH ST. N.E.,CALGARY,AB,T1Y 5T4
